CARE_AVG,FAIRNESS_AVG,LOYALTY_AVG,AUTHORITY_AVG,PURITY_AVG,Sex,Country
2.333333333333333,2.6666666666666665,2.333333333333333,3.0,2.6666666666666665,1,Korea
2.833333333333333,2.1666666666666665,1.8333333333333333,2.5,3.0,1,Korea
4.0,3.5,4.0,3.333333333333333,4.666666666666667,1,Korea
2.833333333333333,3.1666666666666665,3.0,2.1666666666666665,2.833333333333333,0,Korea
3.5,4.333333333333333,3.6666666666666665,3.6666666666666665,3.6666666666666665,0,Korea
2.333333333333333,3.0,3.0,2.6666666666666665,3.6666666666666665,0,Korea
3.5,3.333333333333333,3.8333333333333335,3.0,3.333333333333333,1,Korea
3.5,3.333333333333333,2.1666666666666665,2.1666666666666665,3.0,0,Korea
3.1666666666666665,3.0,1.6666666666666667,1.8333333333333333,2.6666666666666665,1,Korea
2.5,2.333333333333333,2.1666666666666665,2.6666666666666665,2.333333333333333,1,Korea
3.1666666666666665,3.0,3.0,3.0,2.5,0,Korea
4.166666666666667,3.5,3.0,3.8333333333333335,2.833333333333333,1,Korea
4.0,4.166666666666667,3.1666666666666665,2.6666666666666665,4.166666666666667,1,Korea
3.5,3.0,1.8333333333333333,2.5,3.5,1,Korea
1.8333333333333333,1.8333333333333333,1.6666666666666667,1.1666666666666667,2.0,1,Korea
3.1666666666666665,3.1666666666666665,2.5,2.6666666666666665,3.1666666666666665,1,Korea
3.5,3.5,2.6666666666666665,2.1666666666666665,3.0,0,Korea
3.333333333333333,4.166666666666667,2.1666666666666665,1.8333333333333333,2.833333333333333,0,Korea
2.833333333333333,3.5,2.6666666666666665,2.6666666666666665,2.5,0,Korea
2.333333333333333,2.5,2.5,1.5,2.0,1,Korea
2.1666666666666665,3.1666666666666665,2.1666666666666665,1.8333333333333333,1.6666666666666667,0,Korea
3.1666666666666665,3.6666666666666665,2.833333333333333,2.6666666666666665,2.5,1,Korea
3.0,2.833333333333333,3.0,2.6666666666666665,2.833333333333333,0,Korea
3.0,2.6666666666666665,1.1666666666666667,2.1666666666666665,1.3333333333333333,0,Korea
2.75,3.2,3.5,2.5,1.0,1,Korea
3.6666666666666665,3.5,3.333333333333333,2.833333333333333,3.1666666666666665,0,Korea
1.6666666666666667,2.833333333333333,2.5,2.5,2.833333333333333,1,Korea
4.333333333333333,3.1666666666666665,2.333333333333333,2.5,2.333333333333333,1,Korea
3.333333333333333,3.333333333333333,2.5,2.5,3.6666666666666665,1,Korea
2.833333333333333,3.1666666666666665,1.6666666666666667,2.333333333333333,3.0,1,Korea
2.0,3.6666666666666665,2.0,2.5,2.6666666666666665,1,Korea
3.0,3.5,2.833333333333333,2.5,2.0,0,Korea
3.5,4.333333333333333,2.833333333333333,1.5,1.8333333333333333,1,Korea
3.5,3.1666666666666665,2.5,1.8333333333333333,3.1666666666666665,1,Korea
3.333333333333333,3.333333333333333,3.5,3.5,3.1666666666666665,0,Korea
3.5,3.1666666666666665,2.333333333333333,2.6666666666666665,3.333333333333333,1,Korea
3.333333333333333,3.5,2.833333333333333,2.1666666666666665,0.8333333333333334,1,Korea
4.166666666666667,4.0,3.333333333333333,3.1666666666666665,3.6666666666666665,0,Korea
3.333333333333333,4.166666666666667,2.5,2.833333333333333,1.5,0,Korea
4.0,4.0,3.1666666666666665,3.1666666666666665,3.333333333333333,0,Korea
3.5,3.6666666666666665,3.1666666666666665,2.1666666666666665,2.833333333333333,0,Korea
3.333333333333333,4.5,1.8333333333333333,1.8333333333333333,2.333333333333333,0,Korea
2.833333333333333,2.6666666666666665,2.6666666666666665,2.0,2.5,0,Korea
3.333333333333333,2.6666666666666665,3.0,2.833333333333333,2.5,0,Korea
3.0,3.1666666666666665,2.6666666666666665,2.333333333333333,3.5,0,Korea
2.833333333333333,3.0,2.5,2.833333333333333,2.1666666666666665,0,Korea
3.0,2.1666666666666665,2.1666666666666665,2.333333333333333,2.5,0,Korea
3.1666666666666665,2.6666666666666665,2.0,2.5,2.1666666666666665,0,Korea
3.6666666666666665,4.166666666666667,3.333333333333333,2.6666666666666665,3.6666666666666665,1,Korea
2.833333333333333,2.833333333333333,2.333333333333333,2.6666666666666665,1.1666666666666667,1,Korea
2.833333333333333,3.0,2.6666666666666665,2.833333333333333,2.5,0,Korea
4.0,3.5,2.1666666666666665,2.5,2.333333333333333,0,Korea
3.5,3.1666666666666665,2.5,2.333333333333333,2.5,0,Korea
3.333333333333333,3.333333333333333,3.0,3.1666666666666665,2.6666666666666665,0,Korea
3.8333333333333335,3.333333333333333,2.5,2.333333333333333,3.1666666666666665,0,Korea
2.6666666666666665,2.333333333333333,2.5,1.5,2.0,0,Korea
3.333333333333333,2.6666666666666665,2.1666666666666665,2.5,2.833333333333333,0,Korea
2.1666666666666665,3.333333333333333,1.6666666666666667,1.6666666666666667,2.0,0,Korea
2.833333333333333,2.833333333333333,2.333333333333333,2.0,2.333333333333333,0,Korea
2.6666666666666665,4.833333333333333,3.5,3.1666666666666665,3.6666666666666665,1,Korea
3.5,3.1666666666666665,3.333333333333333,2.6666666666666665,3.1666666666666665,1,Korea
3.333333333333333,4.333333333333333,4.166666666666667,3.6666666666666665,3.8333333333333335,1,Korea
3.1666666666666665,2.6666666666666665,2.6666666666666665,2.833333333333333,3.1666666666666665,1,Korea
3.6666666666666665,3.8333333333333335,2.6666666666666665,2.333333333333333,3.0,1,Korea
3.2,4.0,2.333333333333333,2.6666666666666665,3.333333333333333,0,Korea
2.333333333333333,2.5,2.333333333333333,2.5,3.333333333333333,0,Korea
2.833333333333333,3.5,3.1666666666666665,2.6666666666666665,2.1666666666666665,1,Korea
2.0,3.333333333333333,1.5,2.1666666666666665,2.5,0,Korea
3.5,3.1666666666666665,2.833333333333333,2.5,2.5,0,Korea
2.6666666666666665,3.1666666666666665,1.6666666666666667,1.8333333333333333,2.0,0,Korea
3.333333333333333,3.5,2.6666666666666665,2.5,2.333333333333333,1,Korea
2.333333333333333,3.333333333333333,1.8333333333333333,1.8333333333333333,2.1666666666666665,0,Korea
2.0,3.5,1.8333333333333333,2.1666666666666665,2.5,0,Korea
2.1666666666666665,2.1666666666666665,1.6666666666666667,1.8333333333333333,2.1666666666666665,1,Korea
2.6666666666666665,2.0,1.6666666666666667,0.8333333333333334,1.3333333333333333,0,Korea
2.6666666666666665,3.333333333333333,2.0,1.8333333333333333,1.6666666666666667,1,Korea
3.8333333333333335,3.333333333333333,3.1666666666666665,3.0,2.6666666666666665,0,Korea
3.5,3.6666666666666665,2.5,2.833333333333333,3.0,0,Korea
3.8333333333333335,3.6666666666666665,3.333333333333333,4.166666666666667,3.8333333333333335,0,Korea
3.333333333333333,4.5,2.1666666666666665,3.1666666666666665,2.5,1,Korea
3.8333333333333335,3.8333333333333335,3.1666666666666665,3.0,2.6666666666666665,0,Korea
3.8333333333333335,3.8333333333333335,3.1666666666666665,3.0,2.6666666666666665,0,Korea
4.166666666666667,3.8333333333333335,3.0,2.0,2.6666666666666665,0,Korea
3.333333333333333,3.1666666666666665,2.6666666666666665,1.1666666666666667,2.333333333333333,0,Korea
2.75,3.0,3.0,3.0,2.1666666666666665,0,Korea
3.1666666666666665,3.0,2.333333333333333,2.6666666666666665,2.333333333333333,0,Korea
3.2,3.5,2.333333333333333,2.833333333333333,2.6666666666666665,1,Korea
3.333333333333333,3.8333333333333335,1.5,2.1666666666666665,3.5,0,Korea
2.833333333333333,2.6666666666666665,3.333333333333333,4.0,3.333333333333333,0,Korea
3.8333333333333335,3.0,2.333333333333333,3.333333333333333,4.0,1,Korea
3.6666666666666665,3.8333333333333335,2.833333333333333,2.1666666666666665,3.6666666666666665,0,Korea
4.0,3.6666666666666665,2.0,2.6666666666666665,3.0,0,Korea
3.1666666666666665,3.8333333333333335,2.6666666666666665,3.1666666666666665,2.6666666666666665,1,Korea
3.1666666666666665,4.0,3.0,2.5,2.833333333333333,0,Korea
3.6666666666666665,3.8333333333333335,2.333333333333333,3.333333333333333,3.1666666666666665,0,Korea
2.833333333333333,2.833333333333333,2.333333333333333,2.333333333333333,2.333333333333333,0,Korea
3.0,3.0,3.0,3.0,3.0,0,Korea
3.1666666666666665,2.5,2.333333333333333,3.0,3.5,1,Korea
3.8333333333333335,3.333333333333333,2.5,2.333333333333333,2.5,1,Korea
3.6666666666666665,2.833333333333333,2.6666666666666665,2.6666666666666665,2.6666666666666665,1,Korea
2.0,2.5,2.6666666666666665,2.6666666666666665,2.1666666666666665,1,Korea
3.0,3.1666666666666665,3.333333333333333,3.6666666666666665,2.5,1,Korea
3.6666666666666665,2.833333333333333,4.0,3.6666666666666665,2.6666666666666665,1,Korea
3.333333333333333,3.1666666666666665,2.833333333333333,2.6666666666666665,2.833333333333333,0,Korea
3.6666666666666665,3.5,2.333333333333333,2.333333333333333,2.6666666666666665,0,Korea
3.6666666666666665,3.333333333333333,3.333333333333333,2.333333333333333,3.5,0,Korea
2.6666666666666665,2.833333333333333,2.0,2.333333333333333,3.0,0,Korea
2.833333333333333,3.0,2.1666666666666665,2.5,3.0,0,Korea
2.6666666666666665,3.333333333333333,2.6666666666666665,3.0,3.1666666666666665,0,Korea
3.0,2.6666666666666665,2.1666666666666665,2.5,2.5,0,Korea
3.0,3.333333333333333,2.833333333333333,2.5,2.333333333333333,0,Korea
3.8333333333333335,4.0,3.1666666666666665,3.0,3.1666666666666665,0,Korea
3.5,4.166666666666667,3.5,3.333333333333333,3.0,0,Korea
3.333333333333333,3.1666666666666665,2.833333333333333,2.5,3.0,0,Korea
3.6666666666666665,4.5,2.5,1.5,3.0,0,Korea
3.1666666666666665,4.0,2.333333333333333,2.833333333333333,3.0,0,Korea
3.8333333333333335,2.5,1.3333333333333333,2.5,2.833333333333333,0,Korea
3.1666666666666665,3.1666666666666665,2.833333333333333,2.5,2.1666666666666665,0,Korea
3.1666666666666665,3.5,2.6666666666666665,1.3333333333333333,2.5,0,Korea
2.5,2.5,1.6666666666666667,2.833333333333333,4.166666666666667,0,Korea
2.833333333333333,2.5,3.0,3.0,3.1666666666666665,0,Korea
3.0,3.5,2.333333333333333,2.333333333333333,2.5,0,Korea
0.5,1.3333333333333333,1.3333333333333333,1.8333333333333333,1.6666666666666667,1,Korea
2.5,3.1666666666666665,2.1666666666666665,2.5,2.6666666666666665,0,Korea
4.0,4.166666666666667,2.5,1.3333333333333333,2.0,0,Korea
3.8333333333333335,3.333333333333333,3.5,3.1666666666666665,4.0,0,Korea
3.1666666666666665,3.0,2.833333333333333,2.833333333333333,1.5,0,Korea
3.5,3.1666666666666665,2.833333333333333,2.6666666666666665,2.833333333333333,0,Korea
4.0,3.8333333333333335,3.1666666666666665,2.6666666666666665,2.833333333333333,0,Korea
2.6666666666666665,3.0,3.0,2.333333333333333,1.8333333333333333,0,Korea
3.5,2.6666666666666665,2.833333333333333,2.5,2.833333333333333,0,Korea
3.6666666666666665,3.333333333333333,1.5,1.8333333333333333,2.1666666666666665,0,Korea
3.5,3.333333333333333,2.5,2.1666666666666665,2.833333333333333,0,Korea
2.6666666666666665,3.333333333333333,3.0,3.0,2.833333333333333,0,Korea
3.2,3.0,2.333333333333333,1.8333333333333333,2.6666666666666665,0,Korea
3.333333333333333,4.5,2.1666666666666665,1.8333333333333333,1.6666666666666667,0,Korea
4.0,3.5,2.0,2.1666666666666665,2.833333333333333,0,Korea
4.0,3.333333333333333,3.1666666666666665,3.6666666666666665,2.833333333333333,1,Korea
3.1666666666666665,4.666666666666667,3.0,2.0,2.0,0,Korea
3.333333333333333,3.6666666666666665,2.333333333333333,3.1666666666666665,4.166666666666667,0,Korea
3.333333333333333,3.0,2.5,3.1666666666666665,3.1666666666666665,0,Korea
4.166666666666667,4.5,2.833333333333333,3.0,3.333333333333333,1,Korea
4.0,4.166666666666667,2.5,2.0,3.0,1,Korea
4.5,4.333333333333333,2.1666666666666665,2.0,3.333333333333333,0,Korea
3.333333333333333,3.1666666666666665,1.8333333333333333,1.5,2.0,1,Korea
3.0,3.8333333333333335,3.0,2.6666666666666665,2.1666666666666665,0,Korea
3.5,3.5,3.1666666666666665,3.0,2.6666666666666665,0,Korea
3.333333333333333,3.333333333333333,2.5,2.6666666666666665,3.0,0,Korea
3.333333333333333,3.1666666666666665,2.5,2.5,2.833333333333333,0,Korea
3.1666666666666665,3.8333333333333335,2.5,2.0,2.333333333333333,0,Korea
3.0,3.1666666666666665,2.833333333333333,1.8333333333333333,2.5,1,Korea
3.6666666666666665,3.5,3.5,3.1666666666666665,2.833333333333333,1,Korea
3.0,3.1666666666666665,2.5,2.833333333333333,2.833333333333333,0,Korea
3.6666666666666665,3.6666666666666665,2.833333333333333,3.1666666666666665,3.5,1,Korea
2.5,3.0,2.333333333333333,2.1666666666666665,1.6666666666666667,0,Korea
4.166666666666667,3.8333333333333335,3.6666666666666665,3.6666666666666665,3.5,0,Korea
3.1666666666666665,3.0,3.0,2.833333333333333,3.0,0,Korea
3.1666666666666665,2.833333333333333,3.0,3.0,2.5,0,Korea
2.6666666666666665,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.1666666666666665,0,Korea
4.0,4.0,3.1666666666666665,3.1666666666666665,3.0,1,Korea
3.1666666666666665,3.6666666666666665,3.1666666666666665,3.0,3.0,0,Korea
3.333333333333333,3.6666666666666665,4.166666666666667,4.5,4.166666666666667,1,Korea
2.833333333333333,3.333333333333333,3.333333333333333,3.1666666666666665,3.1666666666666665,1,Korea
3.8333333333333335,3.0,2.5,2.0,1.8333333333333333,0,Korea
3.1666666666666665,3.333333333333333,3.1666666666666665,3.0,3.0,0,Korea
2.333333333333333,2.1666666666666665,1.1666666666666667,3.1666666666666665,1.8333333333333333,1,Korea
2.6666666666666665,4.166666666666667,1.8333333333333333,1.6666666666666667,0.6666666666666666,1,Korea
3.6666666666666665,2.833333333333333,2.833333333333333,4.166666666666667,2.833333333333333,1,Korea
3.0,3.8333333333333335,2.333333333333333,2.5,2.333333333333333,1,Korea
3.6666666666666665,4.0,3.0,3.0,3.1666666666666665,1,Korea
3.2,2.833333333333333,3.0,3.1666666666666665,3.0,1,Korea
3.8333333333333335,3.5,2.5,2.5,3.1666666666666665,0,Korea
3.5,3.0,2.5,3.0,3.1666666666666665,1,Korea
3.5,3.8333333333333335,2.833333333333333,3.1666666666666665,3.5,0,Korea
3.8333333333333335,3.0,2.5,2.1666666666666665,2.5,0,Korea
2.6666666666666665,3.6666666666666665,1.8333333333333333,1.6666666666666667,1.1666666666666667,0,Korea
2.833333333333333,3.0,2.1666666666666665,2.1666666666666665,2.833333333333333,0,Korea
3.8,3.333333333333333,2.1666666666666665,3.1666666666666665,3.0,0,Korea
3.6666666666666665,3.5,3.5,3.0,3.6666666666666665,0,Korea
3.6666666666666665,3.6666666666666665,3.333333333333333,3.1666666666666665,3.5,0,Korea
3.5,3.0,3.0,3.0,3.333333333333333,1,Korea
3.333333333333333,4.0,2.6666666666666665,3.0,3.6666666666666665,1,Korea
3.0,4.0,3.0,2.6666666666666665,2.6666666666666665,1,Korea
3.333333333333333,3.333333333333333,2.6666666666666665,3.333333333333333,3.6666666666666665,1,Korea
3.5,3.5,3.0,3.5,3.333333333333333,1,Korea
3.0,2.1666666666666665,2.0,1.6666666666666667,2.2,1,Korea
1.8333333333333333,2.6666666666666665,2.5,1.6666666666666667,2.333333333333333,0,Korea
3.6666666666666665,3.0,2.6666666666666665,2.833333333333333,1.0,0,Korea
3.333333333333333,3.333333333333333,2.6666666666666665,2.833333333333333,2.5,0,Korea
3.1666666666666665,3.5,2.333333333333333,3.1666666666666665,2.1666666666666665,1,Korea
3.8333333333333335,3.1666666666666665,2.5,3.1666666666666665,2.6666666666666665,1,Korea
2.8,3.333333333333333,2.333333333333333,3.333333333333333,2.8,1,Korea
3.6,3.1666666666666665,2.833333333333333,3.0,2.1666666666666665,1,Korea
3.1666666666666665,3.1666666666666665,2.0,2.0,2.5,1,Korea
3.1666666666666665,3.0,3.6666666666666665,2.6666666666666665,3.0,0,Korea
3.333333333333333,3.5,2.333333333333333,2.5,3.1666666666666665,1,Korea
2.6666666666666665,4.0,2.833333333333333,1.5,1.5,0,Korea
3.1666666666666665,3.5,3.0,1.6666666666666667,2.6666666666666665,0,Korea
3.333333333333333,3.333333333333333,2.833333333333333,2.6666666666666665,3.0,1,Korea
2.333333333333333,3.0,2.333333333333333,2.333333333333333,3.0,1,Korea
2.833333333333333,3.0,2.5,2.833333333333333,3.0,1,Korea
3.6666666666666665,3.8333333333333335,3.0,2.333333333333333,2.333333333333333,0,Korea
4.166666666666667,3.8333333333333335,3.1666666666666665,2.833333333333333,3.5,1,Korea
2.833333333333333,2.6666666666666665,2.5,2.333333333333333,2.5,1,Korea
2.6666666666666665,2.5,2.5,2.833333333333333,2.6666666666666665,0,Korea
3.333333333333333,3.1666666666666665,3.333333333333333,2.5,1.8333333333333333,1,Korea
3.8,3.5,2.833333333333333,2.833333333333333,3.333333333333333,1,Korea
3.5,4.166666666666667,3.5,3.8333333333333335,3.333333333333333,1,Korea
3.0,2.833333333333333,3.333333333333333,2.1666666666666665,2.1666666666666665,0,Korea
3.1666666666666665,2.5,2.5,2.5,3.333333333333333,0,Korea
3.1666666666666665,3.333333333333333,3.6666666666666665,4.0,3.333333333333333,1,Korea
1.6666666666666667,3.1666666666666665,2.5,2.5,1.8333333333333333,1,Korea
2.0,2.833333333333333,2.333333333333333,2.6666666666666665,2.6666666666666665,0,Korea
3.8333333333333335,3.333333333333333,1.8333333333333333,2.6666666666666665,2.333333333333333,0,Korea
3.75,3.333333333333333,2.1666666666666665,2.5,2.333333333333333,1,Korea
3.75,2.833333333333333,3.333333333333333,2.6666666666666665,2.6666666666666665,1,Korea
3.6666666666666665,3.1666666666666665,2.1666666666666665,2.0,2.1666666666666665,0,Korea
3.1666666666666665,2.833333333333333,3.0,3.0,2.6666666666666665,1,Korea
3.2,3.6666666666666665,3.1666666666666665,2.5,2.5,1,Korea
3.0,3.1666666666666665,2.6666666666666665,3.1666666666666665,2.833333333333333,0,Korea
3.0,2.833333333333333,1.1666666666666667,1.1666666666666667,2.0,1,Korea
3.1666666666666665,4.333333333333333,1.8333333333333333,1.0,2.6666666666666665,0,Korea
3.333333333333333,3.333333333333333,3.1666666666666665,2.833333333333333,2.0,1,Korea
4.333333333333333,3.5,3.0,3.333333333333333,3.6666666666666665,0,Korea
3.8333333333333335,4.0,3.0,2.0,3.333333333333333,0,Korea
4.0,3.8333333333333335,4.166666666666667,2.833333333333333,2.833333333333333,0,Korea
4.833333333333333,4.5,3.1666666666666665,3.0,3.6666666666666665,0,Korea
3.333333333333333,3.6666666666666665,2.833333333333333,2.833333333333333,2.333333333333333,1,Korea
3.333333333333333,3.0,2.0,1.3333333333333333,1.1666666666666667,0,Korea
3.333333333333333,3.1666666666666665,2.5,3.0,3.6666666666666665,1,Korea
3.1666666666666665,3.5,2.6666666666666665,2.0,1.8333333333333333,1,Korea
2.833333333333333,2.6666666666666665,1.8333333333333333,1.6666666666666667,2.333333333333333,1,Korea
3.8333333333333335,3.8333333333333335,3.0,2.6666666666666665,3.5,0,Korea
3.333333333333333,3.6666666666666665,2.1666666666666665,2.0,1.5,0,Korea
4.166666666666667,3.6666666666666665,3.0,2.5,3.8333333333333335,0,Korea
3.1666666666666665,3.5,3.5,3.333333333333333,3.1666666666666665,1,Korea
3.6,3.1666666666666665,2.6666666666666665,3.0,3.0,0,Korea
3.6666666666666665,4.5,3.0,2.333333333333333,2.6666666666666665,0,Korea
3.1666666666666665,3.0,2.1666666666666665,1.6666666666666667,2.6666666666666665,1,Korea
